,RF,pgm,pgi,gapC,zwf,rpe,WT_0_5,WT_0_7
b3637,3.564766403,6.964413575,2.804360486,3.755065014,2.688300618,5.898736101,8.073178486,4.090038866
b3305,5.428944172,5.245896454,6.512895406,6.949752858,2.887057844,6.249945217,7.269524423,5.795378238
b3255,9.441715921,13.97851666,16.84014742,16.94347717,17.27835482,6.787438132,16.71871907,25.60669544
b3231,11.26997115,11.58259188,15.72491762,10.88939004,13.03721146,3.860799722,18.46454398,22.27335659
b0884,10.60931016,13.85065052,23.29579339,16.1205114,14.2678919,6.609802438,17.02838834,36.57652444
b3782,11.22285983,11.33217022,10.38067203,13.88050359,10.38608864,11.61164416,10.09099644,14.21410006
b0926,12.84505493,19.13675285,21.41704855,13.60134151,16.16826781,10.20332551,7.535588843,8.339056366
b3313,14.97502106,17.91021845,18.25975201,9.19666629,12.14890648,6.330184517,14.98048725,11.7114209
b2282,14.66902714,8.801942106,9.598967421,12.46261813,12.35194349,9.788336372,19.90167554,10.94676494
b1276,15.73295158,8.503583205,14.23468979,10.06818104,11.29085558,17.25000381,8.49260586,4.577513177
b3942,11.41737426,11.56732683,9.456404593,11.71981765,12.67664028,9.366765592,11.66163822,6.63935913
b1967,13.6689301,18.26592217,9.445323378,6.337221447,13.08540584,24.79993966,7.908017789,5.022272784
b0116,12.7734647,9.124522024,12.54789798,16.78451028,14.2252872,8.366463122,13.3854809,14.9617912
b3349,9.501001907,10.5661714,13.89475387,10.07185255,10.31440448,13.72007855,12.53247037,13.74876174
b2599,14.15954973,9.471790429,22.47201561,18.80968868,19.26748122,4.613393184,11.45962328,9.200470132
b2529,12.17930068,12.17153178,15.00098926,13.61303363,12.30285147,9.261597152,7.542942377,13.87158434
b0729,5.012909309,3.153226436,9.288524203,4.491297787,4.299481324,4.25925665,2.984070616,6.029991137
b0003,13.58753762,14.00826201,11.42989035,8.769832885,12.70809769,4.233350957,18.46678729,27.46127769
b1152,7.698958441,16.81171158,9.046972433,8.486033838,6.297867302,8.897967666,6.214839438,5.915555554
b2310,14.01315157,7.624566584,5.47026876,10.80238867,14.73860505,25.24410433,3.655269579,2.233032565
b2809,15.6983695,19.19987564,8.595528719,6.691020817,14.25725142,5.655829265,1.625629504,1.36943369
b0198,13.10583773,16.17921548,17.34185607,16.06334054,10.23234212,2.352660683,13.37928771,14.45471457
